epoch,step,train_loss
0,10,0.4957750141620636
1,21,0.481017529964447
2,32,0.46716636419296265
3,43,0.4538557231426239
4,54,0.4410634934902191
5,65,0.4287625551223755
6,76,0.4169252812862396
7,87,0.40552595257759094
8,98,0.3945416212081909
9,109,0.3839516043663025
10,120,0.3737374544143677
11,131,0.36388179659843445
12,142,0.3543688952922821
13,153,0.34518393874168396
14,164,0.3363129794597626
15,175,0.32774293422698975
16,186,0.31946131587028503
17,197,0.3114563524723053
18,208,0.3037167489528656
19,219,0.29623186588287354
20,230,0.2889914810657501
21,241,0.2819858193397522
22,252,0.2752056121826172
23,263,0.26864200830459595
24,274,0.2622864544391632
25,285,0.2561308443546295
26,296,0.25016748905181885
27,307,0.24438892304897308
28,318,0.23878809809684753
29,329,0.23335827887058258
30,340,0.2280929535627365
31,351,0.22298596799373627
32,362,0.21803142130374908
33,373,0.2132236808538437
34,384,0.20855732262134552
35,395,0.20402716100215912
36,406,0.1996283382177353
37,417,0.19535605609416962
38,428,0.19120582938194275
39,439,0.18717333674430847
40,450,0.18325437605381012
41,461,0.17944496870040894
42,472,0.17574137449264526
43,483,0.17213991284370422
44,494,0.16863703727722168
45,505,0.16522948443889618
46,516,0.1619139015674591
47,527,0.1586873084306717
48,538,0.15554669499397278
49,549,0.15248921513557434
50,560,0.1495121419429779
51,571,0.14661283791065216
52,582,0.14378878474235535
53,593,0.14103759825229645
54,604,0.13835687935352325
55,615,0.13574448227882385
56,626,0.13319824635982513
57,637,0.13071605563163757
58,648,0.12829598784446716
59,659,0.1259361356496811
60,670,0.12363466620445251
61,681,0.12138983607292175
62,692,0.11919993907213211
63,703,0.11706341058015823
64,714,0.11497862637042999
65,725,0.11294414103031158
66,736,0.11095847189426422
67,747,0.10902027785778046
68,758,0.10712821036577225
69,769,0.10528098046779633
70,780,0.1034773662686348
71,791,0.10171617567539215
72,802,0.09999627619981766
73,813,0.09831654280424118
74,824,0.09667590260505676
75,835,0.09507336467504501
76,846,0.09350790828466415
77,857,0.09197859466075897
78,868,0.09048448503017426
79,879,0.08902470767498016
80,890,0.08759837597608566
81,901,0.08620467036962509
82,912,0.08484277129173279
83,923,0.08351190388202667
84,934,0.08221129328012466
85,945,0.08094023168087006
86,956,0.07969796657562256
87,967,0.07848383486270905
88,978,0.0772971585392952
89,989,0.07613726705312729
90,1000,0.07500354945659637
91,1011,0.07389536499977112
92,1022,0.07281212508678436
93,1033,0.07175323367118835
94,1044,0.07071813941001892
95,1055,0.0697062686085701
96,1066,0.06871707737445831
97,1077,0.06775005161762238
98,1088,0.0668046697974205
99,1099,0.0658804327249527
100,1110,0.06497684121131897
101,1121,0.06409341841936111
102,1132,0.06322970986366272
103,1143,0.06238524988293648
104,1154,0.06155958026647568
105,1165,0.06075229123234749
106,1176,0.059962932020425797
107,1187,0.05919110029935837
108,1198,0.05843637138605118
109,1209,0.05769837647676468
110,1220,0.056976694613695145
111,1231,0.05627095326781273
112,1242,0.05558077618479729
113,1253,0.054905809462070465
114,1264,0.05424569174647331
115,1275,0.05360006168484688
116,1286,0.052968576550483704
117,1297,0.05235092341899872
118,1308,0.05174674838781357
119,1319,0.05115573853254318
120,1330,0.05057757347822189
121,1341,0.05001196265220642
122,1352,0.0494585856795311
123,1363,0.048917144536972046
124,1374,0.04838737100362778
125,1385,0.04786895588040352
126,1396,0.04736163467168808
127,1407,0.04686514288187027
128,1418,0.046379197388887405
129,1429,0.04590355604887009
130,1440,0.04543793946504593
131,1451,0.044982124119997025
132,1462,0.04453585669398308
133,1473,0.04409889876842499
134,1484,0.043671008199453354
135,1495,0.043251972645521164
136,1506,0.04284154996275902
137,1517,0.0424395352602005
138,1528,0.042045708745718
139,1539,0.041659872978925705
140,1550,0.041281796991825104
141,1561,0.04091130197048187
142,1572,0.040548183023929596
143,1583,0.040192265063524246
144,1594,0.03984334319829941
145,1605,0.03950124606490135
146,1616,0.03916578367352486
147,1627,0.03883678838610649
148,1638,0.038514092564582825
149,1649,0.038197532296180725
150,1660,0.03788693621754646
151,1671,0.0375821515917778
152,1682,0.037283021956682205
153,1693,0.036989398300647736
154,1704,0.036701131612062454
155,1715,0.03641808405518532
156,1726,0.03614010289311409
157,1737,0.03586706891655922
158,1748,0.03559883311390877
159,1759,0.035335272550582886
160,1770,0.035076264292001724
161,1781,0.03482167795300484
162,1792,0.03457139804959297
163,1803,0.03432530164718628
164,1814,0.034083280712366104
165,1825,0.03384522721171379
166,1836,0.03361102566123009
167,1847,0.03338056802749634
168,1858,0.03315376490354538
169,1869,0.03293050080537796
170,1880,0.03271069377660751
171,1891,0.03249423950910568
172,1902,0.0322810597717762
173,1913,0.03207104280591011
174,1924,0.03186412155628204
175,1935,0.03166020289063454
176,1946,0.031459204852581024
177,1957,0.031261052936315536
178,1968,0.031065670773386955
179,1979,0.030872980132699013
180,1990,0.03068290650844574
181,2001,0.030495382845401764
182,2012,0.030310336500406265
183,2023,0.03012770786881447
184,2034,0.029947426170110703
185,2045,0.02976943738758564
186,2056,0.02959366701543331
187,2067,0.029420074075460434
188,2078,0.029248585924506187
189,2089,0.02907915972173214
190,2100,0.028911735862493515
191,2111,0.028746258467435837
192,2122,0.02858269028365612
193,2133,0.028420977294445038
194,2144,0.02826106548309326
195,2155,0.028102915734052658
196,2166,0.027946483343839645
197,2177,0.02779173105955124
198,2188,0.02763861045241356
