,selected
x559,False
x560,False
x561,False
x562,False
x563,False
x564,False
x565,False
x566,False
x567,False
x568,False
x569,False
x570,False
x571,False
x572,False
x573,False
x574,False
x575,False
x576,False
x577,False
x578,False
x579,False
x580,False
x581,False
x582,False
x583,False
x584,False
x585,False
x586,False
x587,False
x588,False
x589,False
x590,False
x591,False
x592,False
x593,False
x594,False
x595,False
x596,False
x597,False
x598,False
x599,False
x600,False
x601,False
x602,False
x603,False
x604,False
x605,False
x606,False
x607,False
x608,False
x609,False
x610,False
x611,False
x612,False
x613,False
x614,False
x615,False
x616,False
x617,False
x618,False
x619,False
x620,False
x621,False
x622,False
x623,False
x624,False
x625,False
x626,False
x627,False
x628,False
x629,False
x630,False
x631,False
x632,False
x633,False
x634,False
x635,False
x636,False
x637,False
x638,False
x639,False
x640,False
x641,True
x642,True
x643,False
x644,False
x645,False
x646,False
x647,False
x648,False
x649,False
x650,False
x651,False
x652,False
x653,False
x654,True
x655,False
x656,False
x657,False
x658,False
x659,False
x660,False
x661,False
x662,False
x663,False
x664,False
x665,False
x666,False
x667,False
x668,False
x669,False
x670,False
x671,True
x672,False
x673,False
x674,False
x675,False
x676,False
x677,False
x678,False
x679,False
x680,False
x681,False
x682,False
x683,False
x684,False
x685,False
x686,False
x687,False
x688,False
x689,False
x690,False
x691,False
x692,False
x693,False
x694,False
x695,False
x696,False
x697,False
x698,False
x699,False
x700,False
x701,False
x702,True
x703,False
x704,False
x705,False
x706,False
x707,False
x708,False
x709,False
x710,False
x711,False
x712,False
x713,False
x714,False
x715,False
x716,False
x717,False
x718,False
x719,False
x720,True
x721,False
x722,False
x723,False
x724,False
x725,False
x726,True
x727,False
x728,False
x729,False
x730,False
x731,False
x732,False
x733,False
x734,False
x735,False
x736,False
x737,False
x738,False
x739,False
x740,False
x741,False
x742,True
x743,False
x744,False
x745,False
x746,False
x747,False
x748,False
x749,False
x750,False
x751,False
x752,False
x753,False
x754,False
x755,False
x756,False
x757,False
x758,False
x759,False
x760,False
x761,False
x762,False
x763,False
x764,False
x765,False
x766,False
x767,False
x768,False
x769,False
x770,False
x771,False
x772,False
x773,False
x774,False
x775,False
x776,False
x777,False
x778,False
x779,False
x780,False
x781,False
x782,False
x783,False
x784,False
x785,False
x786,False
x787,False
x788,False
x789,False
x790,False
x791,False
x792,False
x793,False
x794,False
x795,False
x796,False
x797,False
x798,False
x799,False
x800,False
x801,False
x802,False
x803,False
x804,False
x805,False
x806,False
x807,False
x808,False
x809,False
x810,False
x811,False
x812,False
x813,False
x814,False
x815,False
x816,False
x817,False
x818,False
x819,False
x820,False
x821,False
x822,False
x823,False
x824,False
x825,False
x826,False
x827,False
x828,False
x829,False
x830,False
x831,False
