epoch,step,train_loss
0,10,0.48215511441230774
1,21,0.38000741600990295
2,32,0.30130332708358765
3,43,0.24047555029392242
4,54,0.19384436309337616
5,65,0.15824288129806519
6,76,0.13119374215602875
7,87,0.11072470247745514
8,98,0.09524385631084442
9,109,0.0834907591342926
10,120,0.0744919553399086
11,131,0.0675138607621193
12,142,0.06201690807938576
13,153,0.05760946124792099
14,164,0.0540086105465889
15,175,0.05100898817181587
16,186,0.04846035689115524
17,197,0.046251341700553894
18,208,0.04429866373538971
19,219,0.042539723217487335
20,230,0.040927838534116745
21,241,0.03942770138382912
22,252,0.0380132794380188
23,263,0.036666449159383774
24,274,0.0353723019361496
25,285,0.0341203436255455
26,296,0.03290420025587082
27,307,0.03171895816922188
28,318,0.03056241199374199
29,329,0.029434410855174065
30,340,0.02833503484725952
31,351,0.027264729142189026
32,362,0.026228593662381172
33,373,0.02522962912917137
34,384,0.024270739406347275
35,395,0.023353293538093567
36,406,0.02247568406164646
37,417,0.02164054475724697
38,428,0.020851975306868553
39,439,0.020107699558138847
40,450,0.01940508931875229
41,461,0.018742451444268227
42,472,0.018117520958185196
43,483,0.01752869412302971
44,494,0.01697533391416073
45,505,0.016455961391329765
46,516,0.015969378873705864
47,527,0.015514141879975796
48,538,0.015087923035025597
49,549,0.014689695090055466
50,560,0.014317573979496956
51,571,0.01397010125219822
52,582,0.013645760715007782
53,593,0.01334376446902752
54,604,0.013062500394880772
55,615,0.012801038101315498
56,626,0.012558001093566418
57,637,0.012332092970609665
58,648,0.012122469954192638
59,659,0.01192800235003233
60,670,0.011747673153877258
61,681,0.011580605991184711
62,692,0.011425810866057873
63,703,0.011282491497695446
64,714,0.011149922385811806
65,725,0.011027459055185318
66,736,0.010914093814790249
67,747,0.010809283703565598
68,758,0.010712520219385624
69,769,0.010623048059642315
70,780,0.010540354996919632
71,791,0.010463873855769634
72,802,0.010393100790679455
73,813,0.01032771822065115
74,824,0.010267401114106178
75,835,0.010211365297436714
76,846,0.010159332305192947
77,857,0.010111097246408463
78,868,0.010066292248666286
79,879,0.01002493966370821
80,890,0.009986231103539467
81,901,0.009950172156095505
82,912,0.009916890412569046
83,923,0.009885632432997227
84,934,0.009856441989541054
85,945,0.009828976355493069
86,956,0.009802990593016148
87,967,0.009778340347111225
88,978,0.009754996746778488
89,989,0.009732656180858612
90,1000,0.009711306542158127
91,1011,0.009690830484032631
92,1022,0.009671272709965706
93,1033,0.009652376174926758
94,1044,0.009633946232497692
95,1055,0.00961594469845295
96,1066,0.009598460048437119
97,1077,0.009581753984093666
98,1088,0.009565545246005058
99,1099,0.009549477137625217
100,1110,0.009533744305372238
101,1121,0.009518605656921864
102,1132,0.00950352381914854
103,1143,0.009488748386502266
104,1154,0.009474345482885838
105,1165,0.009460176341235638
106,1176,0.009446032345294952
107,1187,0.00943225622177124
108,1198,0.00941876508295536
109,1209,0.009405659511685371
110,1220,0.009392744861543179
111,1231,0.009379792958498001
112,1242,0.009366889484226704
113,1253,0.009353943169116974
114,1264,0.00934103224426508
115,1275,0.009328112006187439
116,1286,0.009315273724496365
117,1297,0.009302284568548203
118,1308,0.009289142675697803
119,1319,0.009275848045945168
120,1330,0.00926261954009533
121,1341,0.00924933236092329
122,1352,0.009235914796590805
123,1363,0.009222465567290783
124,1374,0.009208916686475277
125,1385,0.009195199236273766
126,1396,0.009181411005556583
127,1407,0.009167405776679516
128,1418,0.009153180755674839
129,1429,0.009138734079897404
130,1440,0.009124049916863441
131,1451,0.009109114296734333
132,1462,0.009093919768929482
133,1473,0.009078456088900566
134,1484,0.009062953293323517
135,1495,0.009047523140907288
136,1506,0.009031811729073524
137,1517,0.009016086347401142
138,1528,0.009000087156891823
139,1539,0.008983824402093887
140,1550,0.008967305533587933
141,1561,0.008950642310082912
142,1572,0.008934102021157742
143,1583,0.008917482569813728
144,1594,0.008900809101760387
145,1605,0.008883877657353878
146,1616,0.00886681117117405
147,1627,0.008849725127220154
148,1638,0.008832603693008423
149,1649,0.00881524570286274
150,1660,0.008797664195299149
151,1671,0.00877986941486597
152,1682,0.008761939592659473
153,1693,0.00874397438019514
154,1704,0.008725776337087154
155,1715,0.00870743952691555
156,1726,0.008689173497259617
157,1737,0.00867102388292551
158,1748,0.008652784861624241
159,1759,0.008634318597614765
160,1770,0.008615661412477493
161,1781,0.008596924133598804
162,1792,0.008578360080718994
163,1803,0.008559584617614746
164,1814,0.008540659211575985
165,1825,0.008521739393472672
166,1836,0.00850264448672533
167,1847,0.008483451791107655
168,1858,0.008464292623102665
169,1869,0.008445010520517826
170,1880,0.00842574704438448
171,1891,0.008406516164541245
172,1902,0.008387106470763683
173,1913,0.008367564529180527
174,1924,0.008347905240952969
175,1935,0.00832834467291832
176,1946,0.008308632299304008
177,1957,0.008288789540529251
178,1968,0.008268828503787518
179,1979,0.008248756639659405
180,1990,0.008228677324950695
181,2001,0.00820864923298359
182,2012,0.008188558742403984
183,2023,0.008168472908437252
184,2034,0.008148228749632835
185,2045,0.008127863518893719
186,2056,0.008107402361929417
187,2067,0.008086852729320526
188,2078,0.008066211827099323
189,2089,0.00804547406733036
190,2100,0.008024653419852257
191,2111,0.008003981783986092
192,2122,0.007983331568539143
193,2133,0.007962520234286785
194,2144,0.007941599003970623
195,2155,0.007920593954622746
196,2166,0.007899572141468525
197,2177,0.007878703065216541
198,2188,0.00785781815648079
199,2199,0.007836793549358845
200,2210,0.007815712131559849
201,2221,0.007794738281518221
202,2232,0.0077736638486385345
203,2243,0.007752507925033569
204,2254,0.007731320336461067
205,2265,0.007710093166679144
206,2276,0.007688822690397501
207,2287,0.00766751216724515
208,2298,0.0076461732387542725
209,2309,0.007624981924891472
210,2320,0.007603722158819437
211,2331,0.00758254062384367
212,2342,0.007561431732028723
213,2353,0.0075401789508759975
214,2364,0.007518866565078497
215,2375,0.00749754486605525
216,2386,0.0074762278236448765
217,2397,0.007454913109540939
218,2408,0.007433595601469278
219,2419,0.007412293925881386
220,2430,0.007391156628727913
221,2441,0.007369916886091232
222,2452,0.007348629180341959
223,2463,0.00732733029872179
224,2474,0.007306037005037069
225,2485,0.007284749764949083
226,2496,0.007263468112796545
227,2507,0.007242187857627869
228,2518,0.00722090806812048
229,2529,0.007199627347290516
230,2540,0.007178346626460552
231,2551,0.007157120853662491
232,2562,0.007136019878089428
233,2573,0.007114837411791086
234,2584,0.007093616295605898
235,2595,0.007072398904711008
236,2606,0.007051199674606323
237,2617,0.007030019070953131
238,2628,0.0070088766515254974
239,2639,0.006987886969000101
240,2650,0.006966852582991123
241,2661,0.006946020759642124
242,2672,0.006925032939761877
243,2683,0.006903891451656818
244,2694,0.00688298000022769
245,2705,0.006862085312604904
246,2716,0.006841220892965794
247,2727,0.006820396054536104
248,2738,0.006799623835831881
249,2749,0.006778902839869261
250,2760,0.006758233532309532
251,2771,0.006737611722201109
