epoch,regret,step,train_loss
0,8.50389575958252,10,-0.26309990882873535
1,8.738809585571289,21,-0.48625001311302185
2,8.520171165466309,32,-0.6012333631515503
3,8.11075210571289,43,-0.3167884945869446
4,8.254042625427246,54,-0.14716912806034088
5,7.723902225494385,65,-0.187164306640625
6,8.273138046264648,76,-0.4545101523399353
7,7.470025062561035,87,-0.5203325152397156
8,7.92449426651001,98,-0.195348858833313
9,7.329753875732422,109,-0.516380786895752
10,7.609776020050049,120,-0.3429276943206787
11,7.737059116363525,131,-0.521277666091919
12,6.531082630157471,142,-0.5941144227981567
13,6.735633850097656,153,-0.6386528611183167
14,6.927975177764893,164,-0.6016104221343994
15,6.705302715301514,175,-0.6836696863174438
16,6.756840229034424,186,-0.6052103638648987
17,5.848045349121094,197,-0.6224787831306458
18,5.382640361785889,208,-0.8999113440513611
19,5.907033920288086,219,-0.5967147350311279
20,5.9498114585876465,230,-0.8791100978851318
21,5.132927417755127,241,-0.9090421795845032
22,5.566805362701416,252,-0.739194929599762
23,5.112293243408203,263,-0.8710144758224487
24,5.378696441650391,274,-0.6183419227600098
25,5.684579849243164,285,-0.8739370107650757
26,5.464405059814453,296,-0.4923394024372101
27,4.754604339599609,307,-0.853135347366333
28,4.960444927215576,318,-0.7786347270011902
29,4.697340965270996,329,-0.7344708442687988
30,4.961643218994141,340,-0.7508870959281921
31,4.473021984100342,351,-0.5390717387199402
32,4.4619317054748535,362,-0.9061840176582336
33,4.580471038818359,373,-0.47036340832710266
34,4.672613143920898,384,-0.4883781671524048
35,4.747018814086914,395,-0.4846900403499603
36,4.694688320159912,406,-0.5550124049186707
37,4.650064945220947,417,-0.8478031754493713
38,4.4620184898376465,428,-0.6804682612419128
39,4.668352127075195,439,-0.7690781354904175
40,4.455308437347412,450,-0.771635890007019
41,4.641989231109619,461,-0.7386981248855591
42,4.882679462432861,472,-0.6056665182113647
43,4.4693779945373535,483,-0.7469595670700073
44,4.686943531036377,494,-0.6299479007720947
45,4.373216152191162,505,-0.5180648565292358
46,4.135449409484863,516,-0.2973284125328064
47,4.389970302581787,527,-0.3826897442340851
48,4.925011157989502,538,-0.40703290700912476
49,4.435330867767334,549,-0.6759650707244873
50,4.3021559715271,560,-0.5362818837165833
51,4.636097431182861,571,-0.487655371427536
52,4.386794567108154,582,-0.6918283104896545
53,4.168331623077393,593,-0.28163155913352966
54,4.280273914337158,604,-0.777679979801178
55,4.704683780670166,615,-0.8943324685096741
56,4.387030124664307,626,-0.3556233048439026
57,4.48038387298584,637,-0.6945600509643555
58,4.537455081939697,648,-0.48612797260284424
59,4.66104793548584,659,-0.6742032170295715
60,4.14127254486084,670,-0.6029958128929138
61,4.635287761688232,681,-0.6039977669715881
62,4.6162519454956055,692,-0.3055042326450348
63,4.507583141326904,703,-0.5345026850700378
64,4.2742838859558105,714,-0.4348132908344269
65,4.028906345367432,725,-0.3163742125034332
66,4.444759845733643,736,-0.8511624336242676
67,4.378361701965332,747,-0.563958466053009
68,4.240237712860107,758,-0.7386751770973206
69,4.436039924621582,769,-0.5063114166259766
70,4.345907211303711,780,-0.593934953212738
71,4.237580299377441,791,-0.48155975341796875
72,4.110475063323975,802,-0.8800723552703857
73,4.591364860534668,813,-0.5760312080383301
74,4.35573148727417,824,-0.6030245423316956
75,4.142345428466797,835,-0.47011134028434753
76,4.285329818725586,846,-0.8168120384216309
77,4.0822954177856445,857,-0.3041093349456787
78,4.000936985015869,868,-0.4173036515712738
79,4.112786293029785,879,-0.6580314040184021
80,4.130080699920654,890,-0.3010995090007782
81,4.089449405670166,901,-0.46949607133865356
82,4.002310752868652,912,-0.4959944486618042
83,4.137674331665039,923,-0.7726673483848572
84,4.340982913970947,934,-0.5269497036933899
85,4.066072463989258,945,-0.2940080761909485
86,4.361999988555908,956,-0.3754428029060364
87,4.213205337524414,967,-0.2264273464679718
88,4.076352596282959,978,-0.4707074761390686
89,4.131082057952881,989,-0.49826687574386597
90,4.171757221221924,1000,-0.556743323802948
91,4.3232741355896,1011,-0.625331699848175
92,4.459421157836914,1022,-0.6680529713630676
93,4.033004283905029,1033,-0.3740744888782501
94,4.093618392944336,1044,-0.5259276628494263
95,4.36295223236084,1055,-0.5562554597854614
96,4.003689289093018,1066,-0.8557006120681763
97,4.078878402709961,1077,-0.2062244713306427
98,4.045644283294678,1088,-0.5093069672584534
99,4.1555986404418945,1099,-0.19558453559875488
