epoch,regret,step,train_loss
0,8.275731086730957,10,-0.6707985401153564
1,7.840305328369141,21,-0.4896129369735718
2,7.470945358276367,32,-0.5490095615386963
3,7.075100421905518,43,-0.43384337425231934
4,6.799388885498047,54,-0.41174814105033875
5,6.348172664642334,65,-0.4531092941761017
6,6.559093952178955,76,-0.5088788866996765
7,6.083917617797852,87,-0.5387929677963257
8,6.031888961791992,98,-0.35457345843315125
9,6.260829925537109,109,-0.5404772162437439
10,5.823133945465088,120,-0.3370758295059204
11,5.701298713684082,131,-0.5326963663101196
12,5.777053356170654,142,-0.6488842964172363
13,5.740306377410889,153,-0.2510228753089905
14,5.692275047302246,164,-0.4877754747867584
15,5.558673858642578,175,-0.41557180881500244
16,5.424079895019531,186,-0.7378935217857361
17,5.859615802764893,197,-0.5308149456977844
18,5.364440441131592,208,-0.5135740637779236
19,5.2926716804504395,219,-0.41774073243141174
20,5.219558238983154,230,-0.3215242326259613
21,5.540860176086426,241,-0.4386456310749054
22,5.200366497039795,252,-0.20311008393764496
23,5.620278835296631,263,-0.5073200464248657
24,5.46543550491333,274,-0.2744421064853668
25,5.215169906616211,285,-0.46522900462150574
26,5.249112606048584,296,-0.6783699989318848
27,5.234980583190918,307,-0.37916845083236694
28,5.2423415184021,318,-0.40468907356262207
29,5.4496564865112305,329,-0.33940574526786804
30,5.07211971282959,340,-0.26774370670318604
31,5.257547378540039,351,-0.19114796817302704
32,5.2928056716918945,362,-0.4742012619972229
33,5.342220306396484,373,-0.5153590440750122
34,5.022940635681152,384,-0.40711116790771484
35,5.354236125946045,395,-0.32332944869995117
36,5.3408050537109375,406,-0.13429543375968933
37,5.151627540588379,417,-0.2697129249572754
38,5.486221790313721,428,-0.32748839259147644
39,5.546412467956543,439,-0.5218531489372253
40,5.16232442855835,450,-0.2436968982219696
41,5.265507221221924,461,-0.18608127534389496
42,5.25783109664917,472,-0.3147095739841461
43,5.4729437828063965,483,0.04073295742273331
44,5.406548500061035,494,-0.14686056971549988
45,5.3357110023498535,505,-0.5977492928504944
46,5.479095458984375,516,-0.4001748263835907
47,5.300046443939209,527,-0.3969312012195587
48,5.265523910522461,538,-0.4336666762828827
49,5.551774024963379,549,-0.14252175390720367
