epoch,regret,step,train_loss
0,8.956361770629883,10,-0.0064970045350492
1,8.837520599365234,21,-0.09470575302839279
2,8.933719635009766,32,-0.074396513402462
3,8.441446304321289,43,-0.03258470445871353
4,8.283921241760254,54,-0.09601912647485733
5,8.522892951965332,65,-0.07852170616388321
6,8.280128479003906,76,-0.052986837923526764
7,8.175753593444824,87,-0.1307215392589569
8,8.387697219848633,98,-0.07606352865695953
9,7.737640857696533,109,-0.010637713596224785
10,7.634597301483154,120,-0.1022673025727272
11,7.627385139465332,131,-0.08688832074403763
12,7.767723083496094,142,-0.14526304602622986
13,6.841944694519043,153,-0.16437029838562012
14,7.2656660079956055,164,-0.13329270482063293
15,6.892064571380615,175,-0.13672272861003876
16,6.963249206542969,186,-0.13665419816970825
17,6.756057262420654,197,-0.12164843082427979
18,6.406004428863525,208,-0.1107819601893425
19,6.776766300201416,219,-0.13486330211162567
20,6.753606796264648,230,-0.14097954332828522
21,6.942378520965576,241,-0.056325510144233704
22,6.295029163360596,252,-0.15388090908527374
23,6.123425006866455,263,-0.09685888141393661
24,5.742514133453369,274,-0.08938892185688019
25,6.10292911529541,285,-0.11719463020563126
26,5.8437018394470215,296,-0.08228025585412979
27,5.571846008300781,307,-0.09128183126449585
28,5.981363773345947,318,-0.18626292049884796
29,5.94663143157959,329,-0.12940293550491333
30,5.522413730621338,340,-0.08429190516471863
31,5.834273338317871,351,-0.11695116013288498
32,5.914872169494629,362,-0.1607939451932907
33,5.3849196434021,373,-0.1511744111776352
34,5.020637512207031,384,-0.10194205492734909
35,5.624869346618652,395,-0.18515771627426147
36,5.530619144439697,406,-0.13747717440128326
37,5.008047103881836,417,-0.1647220402956009
38,5.102478504180908,428,-0.12566567957401276
39,5.223142147064209,439,-0.1191844493150711
40,5.351476192474365,450,-0.06237202137708664
41,5.503469467163086,461,-0.08795587718486786
42,5.139272689819336,472,-0.08846770226955414
43,5.017743110656738,483,-0.1375773400068283
44,4.889180660247803,494,-0.1203431487083435
45,4.977478981018066,505,-0.07761355489492416
46,5.405831336975098,516,-0.16724157333374023
47,5.04789924621582,527,-0.12457333505153656
48,4.812395095825195,538,-0.045221660286188126
49,5.064054489135742,549,-0.08531057834625244
50,4.743130683898926,560,-0.1022767499089241
51,4.531914234161377,571,-0.09890277683734894
52,4.976321220397949,582,-0.05624191462993622
53,5.218319416046143,593,-0.11626969277858734
54,4.590463638305664,604,-0.1876513957977295
55,4.599875450134277,615,-0.07933200150728226
56,5.063495635986328,626,-0.15194277465343475
57,5.150376796722412,637,-0.1348976194858551
58,4.995981216430664,648,-0.1154521256685257
59,4.941227912902832,659,-0.10553491860628128
60,4.83219575881958,670,-0.08143875002861023
61,5.036873817443848,681,-0.10557367652654648
62,4.616881847381592,692,-0.093843013048172
63,4.689002990722656,703,-0.11404022574424744
64,4.5756707191467285,714,-0.1287236362695694
65,4.801454544067383,725,-0.10908842086791992
66,4.7003912925720215,736,-0.13816361129283905
67,4.780699253082275,747,-0.06791874021291733
68,4.6690993309021,758,-0.10634531080722809
69,4.851893424987793,769,-0.09498017281293869
70,4.575604438781738,780,-0.11880283802747726
71,4.841644287109375,791,-0.07904614508152008
72,4.546641826629639,802,-0.1089741662144661
73,4.824801921844482,813,-0.09669984877109528
74,4.798615455627441,824,-0.16616320610046387
75,4.518176078796387,835,-0.06508970260620117
76,4.84451150894165,846,-0.09947764873504639
77,4.711275577545166,857,-0.10455009341239929
78,4.68635368347168,868,-0.10001759231090546
79,4.3652215003967285,879,-0.07590408623218536
80,4.8318657875061035,890,-0.09845595061779022
81,4.941100597381592,901,-0.13573023676872253
82,4.35361909866333,912,-0.06079735979437828
83,4.731925964355469,923,-0.11933891475200653
84,4.472476482391357,934,-0.08605071157217026
85,4.344875335693359,945,-0.07223406434059143
86,4.598972320556641,956,-0.11960478872060776
87,4.481722831726074,967,-0.08727511763572693
88,4.796699047088623,978,-0.13914045691490173
89,4.802886486053467,989,-0.09326566755771637
90,4.644702911376953,1000,-0.08283731341362
91,4.238726615905762,1011,-0.1052483469247818
92,4.48301887512207,1022,-0.08153390139341354
93,4.585715293884277,1033,-0.051326412707567215
94,4.513870716094971,1044,-0.10395172983407974
95,4.351756572723389,1055,-0.08780360966920853
96,4.518407344818115,1066,-0.07666290551424026
97,4.69277286529541,1077,-0.11202273517847061
98,4.3803887367248535,1088,-0.07110830396413803
99,4.764468669891357,1099,-0.09857537597417831
