epoch,step,train_loss
0,10,0.16663886606693268
1,21,0.14543040096759796
2,32,0.12847685813903809
3,43,0.11414409428834915
4,54,0.1018262580037117
5,65,0.09108961373567581
6,76,0.08162933588027954
7,87,0.07325676828622818
8,98,0.06585037708282471
9,109,0.059333354234695435
10,120,0.05363990366458893
11,131,0.048695482313632965
12,142,0.04442288726568222
13,153,0.040743228048086166
14,164,0.037572626024484634
15,175,0.03483135253190994
16,186,0.03244137391448021
17,197,0.03033522143959999
18,208,0.028458988294005394
19,219,0.026768650859594345
20,230,0.025229202583432198
21,241,0.023818906396627426
22,252,0.022523747757077217
23,263,0.021334387362003326
24,274,0.020239494740962982
25,285,0.019231954589486122
26,296,0.018304545432329178
27,307,0.017451057210564613
28,318,0.016665956005454063
29,329,0.01594432443380356
30,340,0.015282977372407913
31,351,0.014678583480417728
32,362,0.014126386493444443
33,373,0.013622586615383625
34,384,0.013164641335606575
35,395,0.012748610228300095
36,406,0.012371237389743328
37,417,0.012030019424855709
38,428,0.011721670627593994
39,439,0.01144291739910841
40,450,0.011190848425030708
41,461,0.010962679982185364
42,472,0.010756708681583405
43,483,0.010570978745818138
44,494,0.010403322987258434
45,505,0.01025178749114275
46,516,0.010114764794707298
47,527,0.009991073980927467
48,538,0.009879425168037415
49,549,0.009778446517884731
50,560,0.00968707725405693
51,571,0.009604241698980331
52,582,0.00952921062707901
53,593,0.009461277164518833
54,604,0.009399681352078915
55,615,0.009343848563730717
56,626,0.00929312314838171
57,637,0.00924701802432537
58,648,0.009205075912177563
59,659,0.009166888892650604
60,670,0.00913210492581129
61,681,0.009100401774048805
62,692,0.009071389213204384
63,703,0.009044826962053776
64,714,0.00902047473937273
65,725,0.008998100645840168
66,736,0.008977517485618591
67,747,0.008958529680967331
68,758,0.008940976113080978
69,769,0.008924713358283043
70,780,0.008909594267606735
71,791,0.00889550056308508
72,802,0.00888232421129942
73,813,0.008869977667927742
74,824,0.0088583929464221
75,835,0.008847427554428577
76,846,0.008837031200528145
77,857,0.00882713496685028
78,868,0.008817669004201889
79,879,0.008808568120002747
80,890,0.008799769915640354
81,901,0.008791242726147175
82,912,0.008783006109297276
83,923,0.008775035850703716
84,934,0.00876726396381855
85,945,0.008759708143770695
86,956,0.008752248249948025
87,967,0.008744902908802032
88,978,0.008737672120332718
89,989,0.008730501867830753
90,1000,0.008723351173102856
91,1011,0.008716252632439137
92,1022,0.008709188550710678
93,1033,0.00870212260633707
94,1044,0.008695035241544247
95,1055,0.0086878826841712
96,1066,0.008680656552314758
97,1077,0.008673371747136116
98,1088,0.008666041307151318
99,1099,0.008658615872263908
100,1110,0.008651095442473888
101,1121,0.008643456734716892
102,1132,0.008635670877993107
103,1143,0.008627735078334808
104,1154,0.008619637228548527
105,1165,0.008611381985247135
106,1176,0.008603125810623169
107,1187,0.00859474204480648
108,1198,0.008586172945797443
109,1209,0.008577421307563782
110,1220,0.00856855884194374
111,1231,0.008559588342905045
112,1242,0.008550426922738552
113,1253,0.008541042916476727
114,1264,0.008531576953828335
115,1275,0.00852186605334282
116,1286,0.00851199496537447
117,1297,0.00850193202495575
118,1308,0.008491645567119122
119,1319,0.008481081575155258
120,1330,0.008470412343740463
121,1341,0.008459470234811306
122,1352,0.008448231033980846
123,1363,0.008436670526862144
124,1374,0.008424820378422737
125,1385,0.008412736468017101
126,1396,0.008400348015129566
127,1407,0.008387614972889423
128,1418,0.008374572731554508
129,1429,0.008361229673027992
130,1440,0.008347544819116592
131,1451,0.00833349209278822
132,1462,0.008319244720041752
133,1473,0.008304756134748459
134,1484,0.008289971388876438
135,1495,0.008275073021650314
136,1506,0.00825989618897438
137,1517,0.008244380354881287
138,1528,0.008228614926338196
139,1539,0.008212692104279995
140,1550,0.008196508511900902
141,1561,0.00818006880581379
142,1572,0.00816328451037407
143,1583,0.008146200329065323
144,1594,0.008128831163048744
145,1605,0.008111079223453999
146,1616,0.008092936128377914
147,1627,0.008074412122368813
148,1638,0.008055868558585644
149,1649,0.008036968298256397
150,1660,0.008017739281058311
151,1671,0.007998189888894558
152,1682,0.007978270761668682
153,1693,0.007957987487316132
154,1704,0.007937348447740078
155,1715,0.007916292175650597
156,1726,0.007894999347627163
157,1737,0.007873434573411942
158,1748,0.007851555943489075
159,1759,0.00782932061702013
160,1770,0.0078066615387797356
161,1781,0.007783679291605949
162,1792,0.007760560140013695
163,1803,0.007737152744084597
164,1814,0.0077134077437222
165,1825,0.0076894438825547695
166,1836,0.007665162906050682
167,1847,0.007640514988452196
168,1858,0.0076156798750162125
169,1869,0.007590555585920811
170,1880,0.007565269246697426
171,1891,0.007539747748523951
172,1902,0.00751386908814311
173,1913,0.00748786237090826
174,1924,0.007461808156222105
175,1935,0.007435606326907873
176,1946,0.007409302052110434
177,1957,0.007382886949926615
178,1968,0.007356300484389067
