epoch,regret,step,train_loss
0,0.10958182066679001,10,0.24799728393554688
1,0.10613933205604553,21,0.2413475066423416
2,0.10333056002855301,32,0.2355911284685135
3,0.0996403843164444,43,0.22911280393600464
4,0.09676951915025711,54,0.22359462082386017
5,0.09148640185594559,65,0.21581415832042694
6,0.08816279470920563,76,0.21017587184906006
7,0.08600939810276031,87,0.20582599937915802
8,0.08337219059467316,98,0.20109760761260986
9,0.08061579614877701,109,0.1963557004928589
10,0.0794401690363884,120,0.19326254725456238
11,0.07867645472288132,131,0.19061952829360962
12,0.07805659621953964,142,0.18815560638904572
13,0.07574581354856491,153,0.18405823409557343
14,0.07356453686952591,164,0.18016958236694336
15,0.07190001010894775,175,0.17685209214687347
16,0.07143095880746841,186,0.17477606236934662
17,0.07108764350414276,197,0.17284655570983887
18,0.07291464507579803,208,0.17311257123947144
19,0.07394513487815857,219,0.17264103889465332
20,0.07529508322477341,230,0.17252247035503387
21,0.07541477680206299,241,0.17120811343193054
22,0.0735124722123146,252,0.1679033637046814
23,0.07371766865253448,263,0.1667434573173523
24,0.07378827035427094,274,0.165481835603714
25,0.07336807996034622,285,0.16375447809696198
26,0.07325087487697601,296,0.16234584152698517
27,0.07307897508144379,307,0.16089776158332825
28,0.07392782717943192,318,0.16050998866558075
29,0.07411365956068039,329,0.15952752530574799
30,0.07714041322469711,340,0.1614445000886917
31,0.0809488371014595,351,0.16421163082122803
32,0.08134477585554123,362,0.1636040359735489
33,0.08132486790418625,373,0.1625988483428955
34,0.09287365525960922,384,0.17328885197639465
35,0.07793547213077545,395,0.1574777513742447
36,0.07248867303133011,406,0.15135154128074646
37,0.07532323896884918,417,0.1535819172859192
38,0.07228316366672516,428,0.14994241297245026
39,0.07492276281118393,439,0.15201160311698914
40,0.07558708637952805,450,0.15212050080299377
41,0.07346952706575394,461,0.14945101737976074
42,0.07148240506649017,472,0.14692123234272003
43,0.07213782519102097,483,0.14705218374729156
44,0.07075992226600647,494,0.1451629251241684
45,0.0705670416355133,505,0.14448241889476776
46,0.0697980523109436,516,0.14323711395263672
47,0.07032833248376846,527,0.14329595863819122
48,0.07052301615476608,538,0.1430237889289856
49,0.0703602135181427,549,0.14239919185638428
50,0.06952831894159317,560,0.14111167192459106
51,0.0697089210152626,571,0.1408403515815735
52,0.06927645206451416,582,0.13995914161205292
53,0.06938028335571289,593,0.13962925970554352
54,0.0703987404704094,604,0.14022290706634521
55,0.06945357471704483,615,0.13885168731212616
56,0.06985878199338913,626,0.13884282112121582
57,0.06896305829286575,637,0.13753721117973328
58,0.07002463936805725,648,0.1381952315568924
59,0.06965965032577515,659,0.13742873072624207
60,0.06876391172409058,670,0.13613054156303406
61,0.06965965032577515,681,0.13662637770175934
62,0.069135881960392,692,0.13570328056812286
63,0.06874905526638031,703,0.1349187046289444
64,0.06706691533327103,714,0.13284194469451904
65,0.07004702091217041,725,0.13544036448001862
66,0.06621691584587097,736,0.13121658563613892
67,0.0693841278553009,747,0.13399966061115265
68,0.06838179379701614,758,0.1326059252023697
69,0.06585006415843964,769,0.12968558073043823
70,0.06817302107810974,780,0.1316279023885727
71,0.06619610637426376,791,0.12926426529884338
72,0.06609036773443222,802,0.1287842094898224
73,0.0658058226108551,813,0.12812702357769012
74,0.06696423143148422,824,0.12891885638237
75,0.06670626997947693,835,0.12829311192035675
76,0.0666380301117897,846,0.12786118686199188
77,0.06477980315685272,857,0.12564456462860107
78,0.06648831069469452,868,0.12701408565044403
79,0.06380666792392731,879,0.1239933893084526
80,0.0650099590420723,890,0.12486564368009567
81,0.06241269409656525,901,0.12194208055734634
82,0.06246882304549217,912,0.12167996913194656
83,0.06319096684455872,923,0.12208998203277588
84,0.06283525377511978,934,0.12142123281955719
85,0.06380433589220047,945,0.12208905816078186
86,0.06490068882703781,956,0.12290175259113312
87,0.06255048513412476,967,0.12026198208332062
88,0.06498628854751587,978,0.12242107093334198
89,0.06264904886484146,989,0.11980130523443222
90,0.0635126531124115,1000,0.12038663774728775
91,0.06158103793859482,1011,0.11817564815282822
92,0.06271391361951828,1022,0.11903288960456848
93,0.06395716220140457,1033,0.12000133097171783
94,0.06112537905573845,1044,0.11688903719186783
95,0.06395716220140457,1055,0.11944670230150223
96,0.06044062599539757,1066,0.1156478151679039
97,0.0646478459239006,1077,0.11958710849285126
98,0.06207921728491783,1088,0.11674494296312332
99,0.06283866614103317,1099,0.1172589436173439
100,0.06370826810598373,1110,0.11789717525243759
101,0.061455100774765015,1121,0.11540666967630386
102,0.06024828925728798,1132,0.11397036164999008
103,0.062210503965616226,1143,0.11570810526609421
104,0.060137420892715454,1154,0.11340558528900146
105,0.06163838133215904,1165,0.11468799412250519
106,0.05924210324883461,1176,0.11206876486539841
107,0.05913005396723747,1187,0.11173728108406067
108,0.0614214651286602,1198,0.11381462961435318
109,0.05765965208411217,1209,0.10983157902956009
110,0.05946344509720802,1220,0.11142203211784363
111,0.0582759864628315,1231,0.1100204586982727
112,0.05759071186184883,1242,0.10912558436393738
113,0.055945560336112976,1253,0.10727378726005554
114,0.05711747333407402,1264,0.10824856162071228
115,0.056101784110069275,1275,0.10703255981206894
116,0.056629478931427,1286,0.10736441612243652
117,0.053591057658195496,1297,0.10412817448377609
118,0.0628470629453659,1308,0.11321316659450531
119,0.05368676409125328,1319,0.1038677841424942
120,0.05190929397940636,1330,0.10189338773488998
121,0.0514862947165966,1341,0.10127222537994385
122,0.05205472558736801,1352,0.10164135694503784
123,0.054188501089811325,1363,0.10358154028654099
124,0.05418272688984871,1374,0.10338842123746872
125,0.052700333297252655,1385,0.10171503573656082
126,0.06117058917880058,1396,0.11001867800951004
127,0.0520673431456089,1407,0.10073579102754593
128,0.05176723375916481,1418,0.10024379938840866
129,0.05040648207068443,1429,0.09869115799665451
130,0.05229818448424339,1440,0.10038591921329498
131,0.05318979546427727,1451,0.10108564049005508
132,0.060455888509750366,1462,0.10818608850240707
133,0.05236225202679634,1473,0.09991582483053207
134,0.05085751786828041,1484,0.09821804612874985
135,0.05110880732536316,1495,0.09827498346567154
136,0.05049765855073929,1506,0.09746810048818588
137,0.052877649664878845,1517,0.09966322034597397
138,0.0552455373108387,1528,0.1018526554107666
139,0.0503571555018425,1539,0.09677941352128983
140,0.052967365831136703,1550,0.0992053747177124
141,0.05192854255437851,1561,0.09797877818346024
142,0.06001180410385132,1572,0.10590098798274994
143,0.04965115711092949,1583,0.09536486864089966
144,0.0509638637304306,1594,0.09649240970611572
145,0.051391568034887314,1605,0.09672936797142029
146,0.04939613863825798,1616,0.09454065561294556
147,0.054077982902526855,1627,0.09904714673757553
148,0.05026425048708916,1638,0.09505201131105423
149,0.051251668483018875,1649,0.09586546570062637
150,0.04865322262048721,1660,0.09309500455856323
151,0.05641479417681694,1671,0.10069825500249863
152,0.04785943031311035,1682,0.09198329597711563
153,0.04838238283991814,1693,0.09233234822750092
154,0.049205485731363297,1704,0.09298265725374222
155,0.04971201345324516,1715,0.09331401437520981
156,0.058209195733070374,1726,0.10167188197374344
157,0.04991175979375839,1737,0.09321292489767075
158,0.04942470043897629,1748,0.09255217760801315
159,0.04828614741563797,1759,0.09123817831277847
160,0.048290301114320755,1770,0.09106835722923279
161,0.049638621509075165,1781,0.09225073456764221
162,0.04937319457530975,1792,0.09182099252939224
163,0.05583682283759117,1803,0.09813579171895981
164,0.04882001131772995,1814,0.09096644073724747
165,0.048950981348752975,1825,0.09092879295349121
166,0.04848385974764824,1836,0.0902927964925766
167,0.048555221408605576,1847,0.09019678831100464
168,0.05611314997076988,1858,0.09762629866600037
169,0.047518033534288406,1869,0.08887994289398193
170,0.04642586410045624,1880,0.08762593567371368
171,0.046204812824726105,1891,0.08723931759595871
172,0.04677388444542885,1902,0.08765410631895065
173,0.05453382804989815,1913,0.09527087956666946
174,0.04697579890489578,1924,0.08757390081882477
175,0.04650083929300308,1935,0.08693815767765045
176,0.04602833464741707,1946,0.0863097608089447
177,0.05398739501833916,1957,0.09416940063238144
178,0.0467769131064415,1968,0.0868145003914833
179,0.04561922699213028,1979,0.08550527691841125
180,0.04470135644078255,1990,0.08445677161216736
181,0.04539842903614044,2001,0.08501270413398743
182,0.05294531583786011,2012,0.09246577322483063
183,0.04510123282670975,2023,0.08448845893144608
